1axh	4233;5702;6192;6194
2k3c	15747
2k3u	15778
2k42	16824
2k4x	15811
2k6i	15870
2k6o	15876
2k6q	15877
2k6r	15879
2k6s	15880
2k6t	16901
2k6u	16968
2k7l	15919
2k8f	15944
2k8j	15951
2k8x	15965
2k9e	15983
2k9j	16497
2k9u	16002
2k9y	16005
2ka1	16012
2ka4	16014
2ka6	16015
2kad	16020
2kae	16812
2kbm	16050
2kbv	16056
2kc6	16062
2kc8	16065
2kcn	16087
2kdl	16116
2kdm	16117
2kdr	16122
2ke1	16510
2keg	16148
2keh	16149
2kel	16153
2kes	16156
2kff	16179
2kfg	16180
2kfh	16181
2kft	16878
2kg0	16193
2kg1	16194
2kgg	16209
2kgi	16210
2kh9	16230;16243;16244;16246
2khf	16239
2khg	16241
2khk	16247
2khs	15357
2kht	16254
2kib	20074
2kid	16270
2kio	16284
2kit	16295
2kj4	16311
2kje	16318
2kk7	16354
2kke	16357
2klw	16400
2klz	16405
2km8	16425
2kmu	16544
2kn7	16449
2knc	16496
2kne	16465
2kng	16831
2knh	16467
2kni	16468
2knx	16482
2knz	16484
2ko0	16485
2koh	16507
2kpi	16556
2kpl	16559
2kpz	16574
2kqt	16612
2krm	16641
2ksp	16671
2kt5	16683
2ktb	16694
2ktc	16693
2kus	16745
2kuy	16747
2kv4	16768
2kvh	16797
2kvm	16778
2kwf	16851
2kwn	16861
2kwo	16865
2kwt	16886
2kwu	16880
2kwv	16885
2kxa	16907
2kxc	16909
2kxn	16920
2kxq	16923
2ky5	16935
2ky8	16936
2kyg	16954
2kyl	16967
2kym	16970
2kyq	16978
2kzq	17011
2kzu	17019
2l07	17032
2l0i	17044
2l11	17071
2l12	17072
2l14	17073
2l1b	17079
2l1c	17080
2l1r	17103
2l2l	17138
2l2w	17153
2l2x	17154
2l2y	17155
2l2z	17156
2l3r	17200
2l4j	17241
2l4t	17255
2l53	17264
2l5d	17273
2l5e	17270
2l5g	17271
2l6e	17307
2l6j	17312
2l75	17344
2l7h	6822
2l7u	17378
2l8e	17396
2l8j	17412
2l8s	17424
2l8x	17430
2l91	17433
2l92	17434
2l93	17435
2l9b	17161
2l9s	17485
2l9u	17488
2l9x	17492
2la0	17495
2laj	17529
2laq	17533
2las	17536
2law	17538
2lay	17540
2lb0	17542
2lb1	17543
2lb2	17544
2lb3	17545
2lbg	17558
2lbm	17569
2lbs	17574
2lbz	17583
2lcs	17629
2lct	17632
2lcx	7205
2lcy	17638
2lcz	17639
2ld5	16577
2lds	17681
2le3	17690
2le8	17702
2leb	17706
2lec	17707
2lef	4248
2leh	17711
2ler	17726
2lev	17729
2lex	17732
2lg4	17792
2lgb	17803
2lgf	17807
2lgg	17808
2lgi	17810
2lgk	17812
2lhc	17839
2lhd	17840
2lhe	17841
2lhg	17843
2lhv	17868
2lhw	17869
2lhx	17870
2lhy	17871
2lhz	17872
2li0	17873
2li1	17874
2li2	17875
2li5	17879
2li8	17883
2li9	17884
2lif	17891
2liy	11452
2lj7	17923
2ljb	17928
2ljc	17929
2ljq	17955
2ljt	17958
2lk9	17985
2lkj	17990
2lkm	18000
2lks	18010
2lkx	18015
2ll1	18019
2ll6	18027
2ll7	18028
2lld	18043
2llm	18080
2llo	18082
2llp	18083
2llq	18084
2lma	17584
2lmb	18110
2lmf	18114
2lmn	18127
2lmo	18128
2lmp	18129
2lmq	18131
2lmz	18141
2lnh	18165
2lnk	18169
2lnq	18175
2lnw	18182
2lny	18184
2lo2	18191
2lo3	18192
2lo4	18195
2lo6	17173
2lo9	18203
2lob	18205
2loc	18206
2lox	18229
2loz	17364
2lp0	17407
2lp8	18238
2lpb	18244
2lpf	18256
2lqa	18300
2lqc	18302
2lqh	18314
2lqi	18315
2lqx	18334
2lr1	18340
2lrx	18400
2ls1	18405
2lsi	18432
2lsj	18433
2lsk	18434
2lsp	18439
2lsq	18440
2lsr	18441
2lsv	18447
2lsw	18449
2lt7	18462
2lt8	18463
2lto	18490
2ltt	18496
2lu6	18510
2lua	18514
2lue	18518
2luf	18519
2lug	18520
2lum	18531
2lup	18534
2luv	18542
2lvg	18568
2lvm	18579
2lvn	18581
2lvo	18582
2lw9	18614
2lwa	18617
2lwb	18618
2lwl	18634
2lwq	18641
2lws	18643
2lwt	18644
2lwu	18645
2lwz	18654
2lxg	20048
2lxs	18694
2lxt	18695
2lxw	18700
2lxz	18705
2ly0	18706
2ly5	16215
2ly6	18710
2lyd	18720
2lye	18722
2lyf	18723
2lz3	18649
2lz4	18648
2lzi	18757
2lzl	18763
2lzo	18766
2lzp	18768
2lzq	18769
2lzr	18770
2lzx	18783
2lzy	18784
2m04	18793
2m0b	18804
2m0j	17771
2m0k	17771
2m0o	18813
2m0p	18816
2m0s	18822
2m0u	18825
2m0v	18826
2m14	18842
2m1a	18852
2m1f	18861
2m1p	18875
2m2g	18913
2m2h	18914
2m2s	18931
2m2w	18935
2m2x	18937
2m2y	18938
2m32	18942
2m35	18945
2m36	18946
2m3e	18958
2m3f	18959
2m3j	18965
2m3m	17942
2m3n	18970
2m3o	18971
2m3z	18980
2m41	18982
2m4j	19009
2m4y	19027
2m55	19036
2m59	19041
2m5a	19043
2m5b	19045
2m5e	19050
2m5f	19052
2m5k	19058
2m5l	19059
2m5m	19060
2m5n	19062
2m5x	19085
2m61	19102
2m62	19103
2m6a	19124
2m6e	19130
2m6f	19131
2m6j	19142
2m6o	19148
2m6p	19149
2m76	19174
2m77	19175
2m78	19176
2m79	19177
2m7i	19190
2m7j	19192
2m7p	19200
2m7r	19202
2m7t	19205
2m86	19230
2m8b	19237
2m8d	19248
2m8i	19258
2m8j	19259
2m8s	18416
2m8v	19275
2m96	19283
2m99	19287
2m9l	19300
2m9p	19305
2m9q	19306
2ma9	19333
2mae	19342
2mai	19355
2mak	19363
2map	19367
2mb0	19382
2mb1	19383
2mbd	19396
2mbh	19399
2mby	19416
2mbz	19421
2mc0	19422
2mc1	19423
2mc6	19429
2mcr	19450
2md0	19460
2md6	19476
2md7	19472
2md8	19473
2mdc	19483
2mdg	19486
2mdi	19487
2mdj	19488
2mdl	18363
2mdq	19501
2me1	19512
2me2	19513
2me3	19514
2me4	19515
2met	19531
2meu	19532
2mf3	19535
2mf8	19540
2mfa	19542
2mfc	19544
2mfe	19546
2mff	19547
2mfg	19548
2mfh	19549
2mfm	19555
2mfo	19556
2mfq	19562
2mfr	19568
2mfs	19570
2mfx	19577
2mfy	19578
2mg1	19581
2mg2	19582
2mg5	19586
2mg6	19587
2mg9	19593
2mgo	19595
2mgt	19602
2mgu	19604
2mgw	19606
2mgz	19609
2mh0	19610
2mh1	19611
2mh5	19619
2mh8	19623
2mho	19643
2mhv	19657
2mhy	19660
2mi5	19666
2mic	19673
2mid	19674
2mie	19675
2mif	19677
2mig	19678
2mih	19679
2mij	19683
2mit	19693
2mix	19697
2mjc	19716
2mjf	19626
2mjg	18939
2mjh	19726
2mjo	19741
2mjq	11551
2mjr	11552
2mjs	11553
2mjv	19738
2mjz	19747
2mk7	19759
2mk9	19764
2mkc	19766
2mki	19776
2mkk	19778
2mkn	17679
2mkp	19789
2mkr	19791
2mkx	19799
2mky	19800
2ml9	19809
2mli	19822
2mlo	19828
2mlq	19829
2mlu	19832
2mlv	19833
2mm4	19845
2mmj	19856
2mmm	19859
2mn5	19880
2mn8	19882
2mn9	19883
2mna	19095
2mnj	19688
2mnq	19901
2mns	19902
2mnu	19906
2mny	19913
2mnz	19914
2moe	19939
2mof	19941
2mow	19954
2mp2	19961
2mp9	19973
2mpj	19986
2mpm	19989
2mpq	19998
2mps	18876
2mpt	25000
2mpz	25004
2mqf	25031
2mqo	25041
2mqp	25042
2mqq	25043
2mqs	25048
2mqu	25050
2mre	25070
2mrf	25071
2ms4	25104
2msf	25122
2msr	25130
2mt7	25151
2mtm	25169
2mto	25174
2mtp	25176
2mtt	25186
2mtu	25187
2mtv	25188
2mtz	25192
2mul	25219
2mum	25221
2mun	25223
2muq	25229
2mur	25230
2muv	25233
2muw	25234
2mv1	25238
2mv6	25079
2mv7	19516
2mvc	25260
2mvh	25268
2mvi	25269
2mvj	25270
2mvl	25274
2mvm	25275
2mvn	25276
2mvw	25288
2mvx	25289
2mw0	25293
2mw3	25297
2mw4	25298
2mw6	25300
2mw7	25302
2mwo	25347
2mwp	25348
2mwt	25363
2mwx	25376
2mx4	19905
2mx6	25394
2mxb	25396
2mxe	25405
2mxf	25407
2mxo	25421
2mxp	25423
2mxu	25429
2mxv	25433
2mxy	25436
2my2	25442
2my3	25443
2myh	25452
2myz	25465
2mz0	25468
2mz1	25469
2mz6	25474
2mzd	25484
2mzk	25490
2mzl	25491
2mzp	25495
2mzx	25505
2n01	25512
2n07	25516
2n0b	25519
2n0c	25520
2n0d	25521
2n0e	25522
2n0f	25523
2n0g	25524
2n0h	25525
2n0y	25540
2n0z	25541
2n13	25545
2n16	25548
2n1a	25553
2n1d	25556
2n1e	25558
2n1g	25559
2n1n	25568
2n1p	25570
2n1s	25574
2n21	25582
2n23	25584
2n24	25585
2n29	25592
2n2a	25593
2n2c	25595
2n2f	25597
2n2g	25598
2n2h	25599
2n2q	25605
2n2r	25609
2n2v	25613
2n2w	25614
2n31	25632
2n35	25634
2n3a	25639
2n3k	25649
2n3o	25652
2n3p	25653
2n3x	25659
2n4g	25667
2n4h	25668
2n4q	25677
2n4s	25679
2n4u	25681
2n55	25694
2n58	25699
2n5c	25704
2n5j	25718
2n5k	25719
2n5l	25720
2n5s	25729
2n66	25753
2n68	25754
2n69	25755
2n6b	25758
2n6n	25774
2n6o	25775
2n6u	25782
2n6v	25783
2n70	25788
2n71	25789
2n7c	25800
2n7f	25804
2n7i	25806
2n7j	25807
2n7q	25817
2n7r	25818
2n82	25831
2n85	25835
2n88	25837
2n8a	25888
2n8e	25847
2n8h	26674
2n8j	25852
2n8l	25854
2n8m	25855
2n8r	25859
2n8s	25864
2n8t	25865
2n8u	25866
2n90	25872
2n92	25877
2n94	26691
2n95	25881
2n9e	25901
2n9k	25909
2n9l	25910
2n9o	25913
2n9p	25914
2n9r	25916
2n9t	25917
2n9x	25919
2n9y	25920
2na6	25929
2na7	25930
2na8	25931
2na9	25932
2nae	25935
2nao	26692
2nb0	25957
2nb1	25958
2nb2	25959
2nb7	25965
2nb8	25966
2nb9	25967
2nbc	25971
2nc2	26001
2ncs	26034
2nct	26035
2ncz	26041
2nd0	26042
2nd1	26043
2nd2	26045
2nd3	26046
2ndc	26055
2nde	26057
2ndf	26059
2ndg	26060
2ndi	26062
2ndl	26064
2ndm	26065
2ndn	26066
2nmb	4263
2nsv	7326
2o13	15059
2o8k	15083
2o9l	15083
2oi3	6581
2oj2	6581
2p4l	15174
2p6j	7401
2p7c	5873
2p81	7386
2pld	5310;5318
2ro5	11034
2rol	11040
2roz	10236
2rpj	11346
2rqg	10019
2rqu	11082
2rr4	11115
2rrh	11419
2rri	11420
2rru	11443
2rs2	11450
2rs9	11463
2rsn	11496
2rsy	11508
2rt5	11504
2ru2	11543
2ru3	11541
2rui	11570
2ruk	11578
2rum	11580
2run	11581
2ruo	11582
2rup	11583
2rut	11474
2ruu	11475
2ruv	11486
2ruw	11476
2rux	11477
2ruy	11478
2ruz	11479
2rv0	11480
2rv1	11481
2rv2	11482
2rv3	11483
2rv4	11484
2rv5	11485
2rvb	11594
2rvn	11606
2spz	4023
2uvs	15226
2w9o	16136
2w9u	16150
2w9v	16151
2w9w	16152
2xa6	16969
2yh1	17623
2yka	17693
2ymj	18782
2yql	11347
2yrh	11238
2yrj	11239
2yrm	10306
2ys0	11150
2ys2	11157
2ys5	11094
2yso	11368
2ysp	11369
2ytd	10307
2yte	10308
2ytf	10185
2ytg	10186
2yth	10187
2yti	10188
2ytj	10309
2ytk	10310
2ytm	10176
2ytn	11168
2yto	11171
2ytp	10177
2ytq	10222
2ytr	10223
2yts	10156
2ytt	10178
2yu8	10234
2zaj	10215
3thk	7033
3zkt	18972  (ok)
3zpk	19157
4a24	18004
4a54	18042
4b1q	18897
4b2u	18600
4b2v	18729
4b8t	18702
4bd3	18764  (ok)
4bs2	19290
4bxu	19368
4ch1	19653
4cio	18846
4cyk	19959
4cz3	19911
4cz4	19929
4uqt	25047
4uzw	25213
4yyp	26547
5a4h	25684
5aay	25736
5aaz	25742
5aht	25349
5b7j	36001
5fzv	26002
5fzw	26003   (ok)
5fzx	26004
5gow	36013
5gvo	36017
5gwm	36021
5h6v	26933
5huz	30005
5i1r	30008
5i1x	30009
5i22	30010
5i2p	30011
5iay	30019
5iew	30027
5iir	30028
5iiv	30029
5ij4	30030  (ok)
5ion	30032
5ipo	30033
5j6z	30061
5j7j	30062
5j8h	30063
5j8t	30064
5jhi	30067
5ji4	30069
5jpl	30073
5jpx	30075
5jr0	30076
5jtm	30081
5jtn	30082
5jto	30083
5jtp	30084
5jtq	30085
5jtr	30086
5jxv	30088
5jyn	30090
5k5g	30099
5ki0	30110
5kj3	30119
5kjg	30120
5kk3	30121
5kk9	30123
5kkm	30124
5kvn	30138
5kwo	30140
5kwp	30141
5kwx	30142
5kwz	30143
5kx0	30144
5kx1	30145
5kx2	30146
5l1c	30149
5l34	30152
5l82	34006
5l85	34007
5lah	34008
5lbj	34011
5lcs	34014
5lfy	34019
5lo2	34031
5lo3	34032
5lo4	34033  (ok)
5lv6	34040
5lvf	34041
5lwc	34044
5lxj	34045
5m8i	34057
5m9d	34058
5m9u	34059
5m9y	34060
5mf3	34065
5mf8	34066
5mf9	34067
5mgq	34069
5miz	26889
5mmk	34074
5mpg	34079
5mpl	34080
5mxl	34090
5mxs	34091
5mxt	34092
5n14	34094
5n7y	34102
5n8l	34103
5n8m	34104
5nam	34108
5nao	34109
5nbb	34111
5nce	34113
5nda	34114
5nvp	34130
5nwm	34131
5nwu	34132
5nwv	34133
5oap	34152
5ob4	34154
5oek	34160
5ohd	34164
5oqs	34170
5oqv	27212
5or5	34172
5t0x	30156
5t3m	30160
5t42	30162
5t4r	30164
5t7q	30170
5tbg	30176
5tbn	30177
5tbq	30178
5tbr	30179
5tce	30180
5tlr	30190
5tn2	30194
5tp6	30196
5tx8	30204
5u4k	26867
5u5s	30206
5u9b	30210
5u9q	30211
5u9r	30212
5u9s	30213
5u9v	30214 (teste0
5u9x	30215
5u9y	30216
5ua6	30217
5ua7	30218
5ua8	30219
5ub0	30220
5ubs	30221
5uce	30222
5ucf	30223
5ug3	30225
5ug5	30226
5ugk	30227
5ujg	30232
5ujh	30233
5ujq	30235
5ujr	30236
5uoi	30240
5up5	30242
5urn	30243
5v0y	30259
5v11	30260
5v1e	30263
5v2g	30267
5v4u	30271
5v7z	30273
5vav	30274
5vf0	30276
5vfw	30281
5vr1	30291
5w9f	30312
5wbt	30314
5we3	30317
5wlx	30318
5woc	30319
5wod	30320
5wov	30323
5wow	30324
5x34	36050
5x35	36051
5x36	36052
5x37	36053
5x38	36054
5x39	36055
5x3c	36056
5x3z	36059
5x9x	36064
5xm4	36083
5xv8	36101
5y0h	36105
5y0i	36106
5y0j	36107
5y22	36109
5y3u	36110
5yz6	36142
5z4b	36153
5zaz	36165
5zcn	36167
5zfo	36171
5zgg	36172
5zux	36186
6a8y	36200
6ahz	36207
6anf	30333
6awk	30337
6awm	30338
6axi	30341
6aza	30342
6azg	30344
6b3u	30349
6b7g	27271
6b9k	30350
6be7	30355
6bgg	30367
6bgh	30368 (>60)
6bl9	30372
6bnh	30373 (>60)
6br0	30376
6btv	30377
6but	27095 (>60)
6bv7	30379
6bvu	30380
6bvw	30381
6bvx	30382  (ok)
6bvy	30383
6bzj	30389
6bzk	30390
6c0a	25902
6cei	30406
6cfa	30408
6cfb	30409
6cgx	30412
6cj8	30416
6cl3	30424
6co4	25979
6coo	30427
6cop	30428
6coq	30429
6cor	30430
6cos	30431
6cot	30432
6cou	30433
6cov	30434
6cow	30435
6csk	30439
6csz	30440
6ct1	30441
6ct4	30442
6ctg	30443
6cxn	30446
6cxp	30447
6cxq	30448
6cxr	30449
6d2h	30451
6dhr	30470
6dln	30472
6dmz	30475
6dny	30476
6dri	30479
6dsl	30480
6dst	30481
6dul	30482
6duu	30483
6e1l	30232
6e5n	30500
6e83	30501
6e86	30502
6e8w	30503
6ena	34183
6es5	34187
6es6	34188
6es7	34189
6f0y	34201
6f27	34203
6f3v	34206
6f3w	34207
6f3x	34208
6f3y	34209 (ok)
6f46	27316
6f55	34211
6f61	34212
6fdp	34223
6fdt	34224
6fgp	34232
6ftk	34239
6g04	34248
6g99	34258
6gbe	16879
6gbm	34259
6gc3	34260
6gd5	34261
6gnz	34278
6go0	34279
6gv6	34288
6gv7	34289
6gvq	34290
6gvt	34290
6gvu	34291
6gw8	34293
6gwx	34295
6h7i	34305
6h7q	34306
6h8c	34307
6hh0	34309
6hn9	34313
6hne	34314
6hng	34315
6hnh	34316
6hpj	34317
6ht4	30037
6hz2	34322
6ijq	36133
6img	36213
6imh	36214
6ivs	36220
6ivu	36221
6k2k	36251
6kmy	36274
6kn2	36275
6kn3	36276
6kno	36279
6knp	36280
6l8r	36293
6mce	30510
6mcf	30511
6mf8	30513
6mi9	30516
6mjd	30519
6mjv	30520
6mk4	30521
6mk5	30522
6mk8	30524
6mm4	30525
6mnl	30373
6mpp	27632
6my1	30534
6my2	30535
6my3	30536
6mzt	30538
6n8c	30545
6nhw	30553
6nhy	30554
6nk9	30555
6nm2	30557
6nm3	30558
6nom	30561
6nox	30562
6nu4	30565
6nzn	30572
6o3q	30579
6o3s	30580
6o7g	30585
6obk	30592
6obw	30593
6oc2	30594
6oc4	30595
6oc9	30596
6ofa	30597
6okw	30391
6okx	30599
6oky	30600
6old	30601
6oq9	30603
6oqj	30605
6oqk	30606
6osw	30608
6ota	30609
6pi2	30617
6pi3	30618
6pin	30619
6pio	30620
6pip	30621
6pmg	30623
6ppc	30626
6pvr	30645
6pvt	30646
6px7	30647
6px8	30648
6q08	30650
6q5z	34335
6qbk	34345
6qes	34348
6qet	34349
6qjb	34354
6qm1	34360
6qtc	34362
6qtf	34363
6qxz	27251
6qyr	34369
6qys	34370
6qyt	34371
6qyu	34372
6qyv	34373
6qyw	34374
6r2x	34381
6r5g	34384
6r9z	27863;34391
6rh6	34395
6rhy	34396
6rrl	34401
6rro	34402
6rsm	34406
6s3w	27397
6saa	34417
6sdw	34421
6sdy	34422
6sft	27990;50001
6snj	34427
6so0	27277
6so9	34428
6sow	34430
6svc	34432
6sve	34433
6svh	34434
6sy2	34437
6t33	50027
6tdd	34446
6ti5	34454
6ti6	34455
6ti7	34456
6tph	34465
6tt6	34470
6tub	26715
6tvj	34474
6twg	34476
6u24	30654
6u6g	30660
6u7q	30666
6u7r	30667
6u7s	30668
6u7u	30669
6u7w	30670
6u7x	30671
6uch	30672
6urp	16667
6urs	30680
6ut2	30681
6ux5	30682
6uyi	28042
6uyj	28042
6uz4	30686
6uz5	30687
6v1n	30690
6v4t	30503
6v6t	30695
6ve9	30702
6vh8	30711
6vl2	30716
6vlj	30718
6vpn	30720
6vxg	30726
6vy7	30728
6vy8	30729
6w0o	30731
6wlh	50236
6wpb	30744
6wpd	30745
6wpo	30746
6wpv	30747
6wqj	30748
6wql	30749
6wqr	30750
6wux	30752
6x4x	30755
6x7i	30757
6x8r	30758
6xcr	30760
6xcu	30761
6xfl	30765
6xmn	50331
6xn9	30767
6xth	34478
6xti	34479
6xyh	34485
6xyi	34486
6xyv	34487
6yfy	50202
6yhf	34506
6yhi	34507
6yho	34508
6yhp	34509
6yhx	34510
6yjl	34512
6yp5	34513
6yse	28112
6z0g	50263
6z0h	50264
6z0i	50265
6zbi	34521
7a4l	34487
7a58	34487
7a64	34554
7ace	34559
7acs	34511
7act	34511
7ald	34564
7asy	34567
7at7	34568
7atb	34569
7ay8	34574
7b2b	34575
7b2f	34576
7b3j	34577
7b3k	34578
7b7o	34582
7bw5	36343
7bwi	36345
7bz7	36348
7bz8	36349
7bz9	36350
7bza	36351
7c1m	36353
7ck5	36361
7d13	36383
7d16	36384
7dta	36404
7edk	36413
7ees	36414
7ely	36419
7f7x	36427
7jgx	30775
7jgy	30776
7jhf	30778
7jn6	30783
7jnn	30784
7jpm	30785
7jq8	30786
7jsq	30656
7jyn	30790
7k1m	30792
7k1q	30793
7k3g	30795
7k7a	30799
7k7f	30800
7k7x	50464
7klr	30809
7kn0	30810
7knn	30811
7kpd	30813
7l2g	30826
7l51	30827
7l53	30828
7l55	30830
7l83	30834
7l8v	27692
7lc8	30842
7lhc	30848
7lns	30854
7lp4	30857
7lso	30863
7lsp	30864
7lve	30869
7lvf	30870
7lvg	30871
7lvn	30872
7lx4	30873
7lzl	30876
7m25	30881
7m27	30882
7m28	30883
7m29	30884
7m2a	30885
7m2b	30886
7m2c	30887
7m3u	30889
7m67	30891
7m73	30892
7m77	30893
7m79	30894
7m7x	30895
7mj3	30896
7mla	30899
7mll	50886
7mn3	30903
7my8	30909
7n0t	30913
7n1z	30915
7n20	30916
7n21	30917
7n22	30918
7n23	30919
7n24	30920
7n25	30921
7n26	30922
7nip	50117
7nqc	34608
7nyi	34614
7od2	34619
7ofm	34621
7oj9	34628
7olg	34629
7osc	34633
7osr	34635
7osw	34636
7ovc	34638
7oxf	34641
7p55	34650
7p5g	34651
7p5q	34652
7p5s	34653
7ph8	34656
7pht	34657
7pl4	34662
7pll	50901
7pqw	34667
7pre	34669
7pvm	50997
7q33	34673
7q4l	34675
7qal	34680
7qam	34681
7qao	34682
7qap	34683
7qby	34686
7qdd	34691
7qde	34692
7qdw	34693
7qgv	50938
7qlf	34697
7qs6	34699
7quu	34702
7qxj	34703
7qzv	34705
7qzw	34706
7r6p	30928
7r95	30931
7rap	30932
7rc7	30933
7rc8	30934
7rfa	30935
7rn3	30938
7rul	30941
7s3e	30945
7s55	30949
7s5j	30950
7s7p	30951
7sag	30952
7sav	30953
7saw	30954
7sft	30958
7skc	30961
7t1n	30971
7t2f	30974
7t6g	30975
7t7w	30976
7th8	30979
7tvq	30991
7tvr	30992
7tz3	30994
7ubc	30997
7ubd	30998
7ube	30999
7ubf	31000
7ubg	31001
7ubh	31002
7ubi	31003
7unx	31010
7uv1	31013
7uv2	31014
7uv3	31015
